ticket,x,z
1,-2.424,-4.000
2,-8.338,-10.458
3,-11.717,-17.481
1,-2.021,-4.000
2,-8.073,-10.165
3,-11.707,-17.095
1,-1.617,-4.000
2,-7.808,-9.872
3,-11.696,-16.709
1,-1.214,-4.000
2,-7.542,-9.578
3,-11.686,-16.323
1,-0.811,-4.000
2,-7.277,-9.285
3,-11.675,-15.937
1,-0.408,-4.000
2,-7.012,-8.991
3,-11.665,-15.552
1,-0.005,-4.000
2,-6.746,-8.698
3,-11.658,-15.166
1,0.399,-4.000
2,-6.481,-8.404
3,-11.668,-14.780
1,0.802,-4.000
2,-6.216,-8.111
3,-11.694,-14.395
1,1.205,-4.000
2,-5.951,-7.817
3,-11.696,-14.010
1,1.608,-4.000
2,-5.685,-7.524
3,-11.554,-13.654
1,2.011,-4.000
2,-5.420,-7.230
3,-11.299,-13.365
1,2.415,-4.000
2,-5.155,-6.937
3,-11.035,-13.084
1,2.818,-4.000
2,-4.890,-6.643
3,-10.771,-12.802
1,3.221,-4.000
2,-4.624,-6.350
3,-10.506,-12.521
1,3.500,-4.000
2,-4.359,-6.057
3,-10.242,-12.240
1,3.500,-4.000
2,-4.094,-5.763
3,-9.978,-11.958
1,3.500,-4.000
2,-3.828,-5.470
3,-9.713,-11.677
1,3.500,-4.000
2,-3.563,-5.176
3,-9.449,-11.396
1,3.500,-4.000
2,-3.298,-4.883
3,-9.185,-11.114
1,3.500,-4.000
2,-3.033,-4.589
3,-8.920,-10.833
1,3.500,-4.000
2,-2.767,-4.296
3,-8.656,-10.552
1,3.500,-4.000
2,-2.502,-4.002
3,-8.392,-10.271
1,3.500,-4.000
2,-2.108,-4.000
3,-8.127,-9.989
1,3.500,-4.000
2,-1.712,-4.000
3,-7.863,-9.708
1,3.500,-4.000
2,-1.317,-4.000
3,-7.599,-9.427
1,3.500,-4.000
2,-0.921,-4.000
3,-7.335,-9.145
1,3.500,-4.000
2,-0.526,-4.000
3,-7.070,-8.864
1,3.500,-4.000
2,-0.130,-4.000
3,-6.806,-8.583
1,3.500,-4.000
2,0.265,-4.000
3,-6.542,-8.301
1,3.500,-4.000
2,0.500,-4.000
3,-6.277,-8.020
1,3.500,-4.000
2,0.500,-4.000
3,-6.013,-7.739
1,3.500,-4.000
2,0.500,-4.000
3,-5.749,-7.458
1,3.500,-4.000
2,0.500,-4.000
3,-5.484,-7.176
1,3.500,-4.000
2,0.500,-4.000
3,-5.220,-6.895
1,3.500,-4.000
2,0.500,-4.000
3,-4.956,-6.614
1,3.500,-4.000
2,0.500,-4.000
3,-4.691,-6.332
1,3.500,-4.000
2,0.500,-4.000
3,-4.427,-6.051
1,3.500,-4.000
2,0.500,-4.000
3,-4.163,-5.770
1,3.500,-4.000
2,0.500,-4.000
3,-3.899,-5.488
1,3.500,-4.000
2,0.500,-4.000
3,-3.634,-5.207
1,3.500,-4.000
2,0.500,-4.000
3,-3.370,-4.926
1,3.500,-4.000
2,0.500,-4.000
3,-3.106,-4.645
1,3.500,-4.000
2,0.500,-4.000
3,-2.841,-4.363
1,3.500,-4.000
2,0.500,-4.000
3,-2.577,-4.082
