frame,phase,x,z,stepDistance
115,ToSeat,3.030077,-9.454159,0.032000
116,ToSeat,3.062077,-9.454007,0.032000
117,ToSeat,3.094076,-9.453856,0.032000
118,ToSeat,3.126076,-9.453704,0.032000
119,ToSeat,3.158076,-9.453552,0.032000
120,ToSeat,3.190075,-9.453401,0.032000
121,ToSeat,3.222075,-9.453249,0.032000
122,ToSeat,3.254074,-9.453097,0.032000
123,ToSeat,3.286074,-9.452946,0.032000
124,ToSeat,3.318074,-9.452794,0.032000
125,ToSeat,3.350073,-9.452642,0.032000
126,ToSeat,3.382073,-9.452491,0.032000
127,ToSeat,3.414072,-9.452339,0.032000
128,ToSeat,3.446072,-9.452188,0.032000
129,ToSeat,3.478071,-9.452036,0.032000
130,ToSeat,3.510071,-9.451884,0.032000
131,ToSeat,3.542071,-9.451733,0.032000
132,ToSeat,3.574070,-9.451581,0.032000
133,ToSeat,3.606070,-9.451429,0.032000
134,ToSeat,3.638069,-9.451278,0.032000
135,ToSeat,3.670069,-9.451126,0.032000
136,ToSeat,3.702069,-9.450974,0.032000
137,ToSeat,3.734068,-9.450823,0.032000
138,ToSeat,3.766068,-9.450671,0.032000
139,ToSeat,3.798067,-9.450520,0.032000
140,ToSeat,3.830067,-9.450368,0.032000
141,ToSeat,3.862067,-9.450216,0.032000
142,ToSeat,3.894066,-9.450065,0.032000
143,ToSeat,3.926066,-9.449913,0.032000
144,ToSeat,3.958065,-9.449761,0.032000
145,ToSeat,3.990065,-9.449610,0.032000
146,ToSeat,4.022065,-9.449458,0.032000
147,ToSeat,4.054064,-9.449306,0.032000
148,ToSeat,4.086064,-9.449155,0.032000
149,ToSeat,4.118063,-9.449003,0.032000
150,ToSeat,4.150063,-9.448852,0.032000
151,ToSeat,4.182063,-9.448700,0.032000
152,ToSeat,4.214062,-9.448548,0.032000
153,ToSeat,4.246062,-9.448397,0.032000
154,ToSeat,4.278061,-9.448245,0.032000
155,ToSeat,4.310061,-9.448092,0.032000
156,ToSeat,4.342061,-9.447941,0.032000
157,ToSeat,4.374060,-9.447788,0.032000
158,ToSeat,4.406060,-9.447637,0.032000
159,ToSeat,4.438059,-9.447484,0.032000
160,ToSeat,4.470042,-9.446695,0.031993
161,ToSeat,4.502005,-9.445157,0.032000
162,ToSeat,4.533968,-9.443619,0.032000
163,ToSeat,4.565931,-9.442081,0.032000
164,ToSeat,4.597894,-9.440543,0.032000
165,ToSeat,4.629568,-9.436037,0.031993
166,ToSeat,4.661229,-9.431391,0.032000
167,ToSeat,4.692890,-9.426744,0.032000
168,ToSeat,4.724551,-9.422097,0.032000
169,ToSeat,4.755636,-9.414646,0.031966
170,ToSeat,4.786567,-9.406442,0.032000
171,ToSeat,4.817497,-9.398238,0.032000
172,ToSeat,4.848428,-9.390034,0.032000
173,ToSeat,4.878149,-9.378231,0.031979
174,ToSeat,4.907754,-9.366086,0.032000
175,ToSeat,4.937360,-9.353941,0.032000
176,ToSeat,4.966405,-9.340669,0.031933
